,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,50.5,72.2,45.5,37.6,21.819000000000006,16.3,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,32.71400000000002,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,44.363000000000014,112.0,68.3,88.7,57.2,27.486999999999995,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,160.888,100.0,37.2,59.5,32.5,22.6,38.3,43.1,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,16.85450000000001,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,10.0,9.3,8.7
7,8.59,11.9,33.95700000000002,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,149.0,102.0,85.6,51.4,22.245,14.2,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,31.0,15.8,29.490000000000006,15.8,9.5,10.621000000000006,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,55.8,21.3,18.248,14.245500000000009,10.3,9.0,16.9
12,9.44,27.9,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,23.0096,27.4,44.1,34.0,29.4,36.9,30.182,10.3,10.4,11.4,26.3,21.8
14,21.7,10.3,27.2,99.226,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13.0
15,9.22,11.9,35.3,73.33600000000003,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
16,19.8,13.0,65.4,110.0,51.9,21.0,23.1,23.8,55.7,17.9,18.8,31.67729999999999
17,17.678100000000008,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,19.0,42.9,56.9,69.5,79.3,40.4,23.7,23.091000000000005,25.4,16.7,26.8,29.332299999999996
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,11.9,55.4,23.496000000000002,21.6,42.6
20,21.9,28.8,61.99899999999996,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,34.3,26.1,31.4,88.6,81.94300000000004,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,28.334000000000007,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,25.159000000000006,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,25.47599999999998,19.1,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,37.36700000000002,63.3,29.9,34.32300000000001,71.5,22.4
26,37.9,13.9,37.1,99.12399999999997,33.1,13.0,28.452999999999996,19.38699999999999,9.85,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
28,19.2,32.5,88.1,136.0,107.0,33.3,83.1,68.6,19.386999999999986,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,21.642900000000022,70.1,68.10699999999999,37.1,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,30.9,23.0,101.0,137.0,74.46699999999998,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,18.012200000000004,43.7,63.91299999999997,76.1,22.5,41.7,28.3,23.1,11.4,16.073000000000008,19.2,26.9
33,67.1,53.0,70.9,84.9,79.3,45.044999999999966,75.4,35.2,25.3,22.782000000000007,24.7,83.1
34,37.5,31.194999999999997,43.5,62.9,31.0,30.4,35.6,21.1,11.2,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,24.187999999999988,19.67000000000001,12.247499999999997,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,26.0,22.8,37.8,18.3,10.9,12.5,10.4,14.2
