"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.634,1.43,0.537939344837037,0.617762891461811,0.966,1.4,0.915266188555344,0.0667652355098785,1.0989143386677,-0.0652196558435061,0.326,0.21
"2",0.236,0.508,0.694482420623567,1.46,2.73,1.46,1.94,0.491,3.69,0.456,0.121626853834412,0.348923244724975
"3",0.677783453394153,0.533079120079494,1.34239216574041,1.61356299549636,2.12136642073399,0.98,1.20403398454903,2.38,2.19058465707034,0.0905547635217474,0.426118414855917,0.312980768606873
"4",0.357,0.454695954880293,1.69946014327798,4.57,2.17214837117791,0.767469152446519,0.712687763300988,0.846164493521642,1.18423089519853,0.805,1.43,0.923
"5",0.547,0.444233224050134,1.34289218310225,2.37563282069967,1.26923166241825,0.817,1.81,0.989,1.52,0.835,0.654,2.42
"6",1.48,0.588,1.18372887750915,1.65530143563014,1.28911689673235,1.11731799695842,1.74,1.61,0.616,0.524,0.422,0.38
"7",0.347,0.323,0.816509575095129,0.814173310128121,1.54485925773438,0.636318095821719,0.728,1.23,0.41,0.38921465023389,0.348803461538658,0.432
"8",0.5,0.472,1.31,2.72,3.89,2.59,1.21,0.781607771307019,0.266974585138252,0.302,0.230288371217612,0.311672982039336
"9",0.387,0.401877202116626,1.35267384867812,3.18,2.21981270535666,1.61157236815532,1.94,0.377,0.392,0.351,0.374,0.375
"10",0.255612907498628,0.583434931353834,1.52,1.72,0.402,0.433,0.55,0.141432941707057,0.250079066435143,0.298,0.279,0.227
"11",0.262810740094984,0.492484285872248,0.978018927354882,0.780176376144061,1,0.673056944791499,0.524259108581295,0.347,0.201,0.236,0.286,0.446
"12",0.414,0.422,1.04876321496384,1.25729035068895,1.89,0.955600454810419,0.881137448440416,0.302,0.432,0.215358978250358,0.217847664259685,0.307
"13",0.253,0.58,1.5,1.13,1.16,0.68823253250495,0.317163438560819,0.281021500093817,0.245359514619462,0.277,0.248854191657388,0.152383315898202
"14",0.138,0.39,0.666,0.749,0.7,0.729,0.373373729554756,0.269,0.246,0.279,0.324622195598094,0.240493736446625
"15",0.348,0.163,0.599,0.539,0.655576274697033,1.01950301954315,0.419144822235399,0.39732705334348,0.275014830863373,0.605,0.621,0.3
"16",0.338,0.213129310456066,0.549136310423599,0.365937511875231,0.880203559431081,1.69,0.537,0.701,0.317,0.494,0.485,0.28
"17",0.318,0.158,0.52737084695145,0.853670759048873,0.974,1.08483048923329,0.308350465014052,0.708023385506282,0.375911289050563,0.475517647656871,0.787798865742912,1.69
"18",0.76503638571179,0.727973246492554,1.32,1.51684002916963,1.48293571588428,1.37,0.333215440965203,0.277707572309303,0.287,0.297023129824799,0.140793233230044,0.327
"19",0.492949743644198,0.676833171625868,0.776091366439818,2.741936480323,2.7,0.895,0.342,0.363,0.845,0.478,0.693,3.39
"20",1.69,0.970297588123315,1.92702761020636,5.23,2.32,0.666,0.497,0.424,1.45,0.627,0.467,0.898
"21",0.289215502850049,0.444652422481397,1.49,2.63310572380621,1.53185585300445,1.1,0.885,1.43,1.23,0.938,0.591,0.761
"22",0.164407733623179,0.280685221889051,0.674,1.5,1.17,0.668134357492481,0.846606238137028,0.443,0.595,1,0.733,0.393
"23",0.344,0.414,2.2,3.83,1.88,0.715234486922975,0.716963662983951,0.575,0.32537029592567,0.388685138365923,0.408,0.438
"24",0.342929864347206,0.688748915343134,2.7,3.08,0.488,0.402,0.446,0.208,0.277,0.181,0.507337055966662,0.16154092602944
"25",0.194,0.27,1.03,1.24228377017311,0.400772797512768,0.852,1.68,0.47,1.69,0.858,0.833,0.506
"26",1.12,1.74,1.39,0.819,0.583,0.974,0.975,2.49,0.938,1.28,0.750591287925097,0.814704626666878
"27",0.669,0.958175401320165,1.35311776827828,2.58,0.49,0.27095902790288,0.2092163559554,0.373,0.257,0.388,0.3,0.23
"28",0.237,0.668,2.11,2.21,1.25755422216095,0.267947291510096,0.52,0.754,0.438,0.502,0.907,0.73
"29",0.384,0.462,2.28,2.4,2.6,1.04,0.969591083050314,1.7296662318401,0.99,0.378,0.440587836759682,0.327261464891512
"30",0.217744048502487,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
"31",0.159816331575956,0.0846825765431391,2.09600698520143,2.52836721282681,0.140981266859667,0.441,0.371,0.413,1.41,1.75,0.794304904260986,0.794675083870998
"32",0.382,0.452,2.61,3.27,1.10192809668676,1.44576442845635,1.65,0.658,0.368,0.418,0.348,1.22
"33",0.778,0.70638756754398,1.18040682968606,1.51,0.464,1.49,0.791,0.256,0.269,0.407,0.323,0.413
"34",1.63,0.819103470466691,0.882101951008172,1.5481708793714,0.777616017690481,1.03121520822382,1.10102432930561,1.07,0.44,0.446,0.729,0.587587545980236
"35",0.822,0.347,1.24,2.2,0.643,0.887025456425985,0.690428701284043,0.46264878269899,0.15303349927418,0.221289620275327,0.318084956329823,0.519813010784897
"36",0.264792166066143,0.405679922153351,0.967983249360351,1.03893143325513,0.352074361996346,1.1427003100817,0.225,0.2,0.204,0.262,0.29,0.267
"37",0.229993242021171,0.608346118332331,1.42,2.24,0.466,2.74,0.686,0.4,0.321,0.327,0.325,0.209
"38",0.255,0.573,0.518,0.76,0.909,1.83,0.742850071212445,0.994494469371921,0.437011590608623,0.277051922927325,0.344,0.33
