16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,NA,0.435048996947789,-0.0260479191061709,NA
NA,28.6284963236532,30.4854627621502,NA,NA,82.4588559923611,53.7,18.1,86.8,30.9,16.1,47.3
56.4,60.3,92.2,86.7,51.3,27.7,25,NA,45.5525149219792,13.5,14.3,16.5
10.1,14,47.9,NA,107.070387202774,NA,56.0211286703709,38.7,18.8,43.7,63.5,36.3
NA,60.5428937712378,146,67.9,100,37.2,59.5,32.5,22.6,38.3,NA,36.8457371724003
44.1,14.3,36.5,103,69.2,31.7,51.9,31.3,14.1,NA,14.2364704258735,13.2
19.8,26.2,NA,55.6833054825503,44.4,40.4,NA,13.0986151447912,10.9,10,9.3,8.7
8.59,11.9,17.9,45.6,NA,84.1884932702214,47.4,NA,7.29955825507455,7.78220701757348,NA,18.5
11.2,11.3,23.5,149,102,85.6,51.4,17.9,14.2,10.8,15.6,18.7
27.9,20.7,64.5,135,31,15.8,22.1,15.8,9.5,9.5,NA,NA
24.1778421253839,NA,24.5,NA,32.1994677301324,26.9011502858644,NA,12.2,NA,6.26901467680789,5.80763949433774,9.04733235919839
13.7,17.8,69.1,134,53.3,55.8,21.3,12.8,16,10.3,9,16.9
9.44,27.9,61.7,73.4,50,24.4,16.7,21.8,31,17.1,NA,13.1032363004028
15.7,27.4,44.1,34,29.4,36.9,NA,17.3427939670823,13.5851331876182,NA,26.3,21.8
21.7,NA,16.0813050196447,27.1,68.5,56.2,42.2,NA,20.9517311383704,23.7,26.3,13
9.22,11.9,35.3,NA,55.1128518671388,43.4,NA,19.5360884627092,12.8,28.9,52.8,22.8
19.8,13,65.4,110,51.9,21,23.1,NA,13.6650155184178,17.9,18.8,61
37.6,36.3,66.5,NA,51.1288373625509,41.4,20.4,12.2,9.6,15.3,13.4,18.1
19,42.9,NA,66.8138771457156,39.3736839931253,24.3701117305454,NA,14.4,25.4,16.7,26.8,119
45.2,16.4,26.4,86.4,NA,22.9,18.5,11.9,55.4,NA,15.5835617607521,42.6
NA,16.160407557535,45.8,89,NA,64.9785767840468,37.1,NA,53.719133033996,63.3,27.6,37.1
NA,13.8543667712685,NA,74.5790666046738,62.6,119,71.4,21.4,27.9,54.6,56.7,20
18.1,23.4,105,181,73.4,36.8,27.4,18.5,13.8,13.9,NA,6.76107360772896
15.6,28.5,117,171,30.2,14.6,26.2,NA,21.3367933954597,9.7,NA,7.82184092225435
11.9,20.1,80,72.8,29.1,29.1,48.1,19.1,55.3,NA,29.2908359568894,18.1
27.3,NA,72.5739514496822,46.6,29.3,NA,50.7372927509382,NA,29.9,44.7,71.5,22.4
37.9,13.9,37.1,NA,40.475268132142,22.5556067609542,16.2016735479985,NA,9.85757833440033,NA,23,9.93
8.7,36.1,NA,93.9677636949426,39.0810478281487,NA,19.9,NA,15.1988382665043,21.5103614273588,NA,44.8
19.2,32.5,88.1,NA,56.9560966677691,33.3,83.1,68.6,24.8,15.6,15.4,24
26.5,NA,105.243054652994,NA,94.7954635374961,36.2170590342483,NA,34.0245177539598,NA,NA,14.935965833974,16
44.6,NA,67.4776385877845,37.1,33.5,26.8,18.3,18.1,54.2,39.6,NA,38.6304373879234
30.9,23,NA,72.9569919640647,67.2,NA,12.075498061102,7.9287491151204,NA,16.6,19.9,48.1
NA,18.8287420807619,NA,38.015520869187,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
67.1,53,70.9,84.9,NA,65.1904308965696,75.4,35.2,NA,19.7724138586348,NA,17.1933319490035
25.0099663348167,NA,43.5,NA,37.1378831922087,30.4,35.6,21.1,11.2,NA,13.2290325812305,12.1
NA,8.91111588702359,29.8,77.3,40.3,57.9,NA,3.14411262046032,7.9,8.7,9.8,9.8
9.6,15.7,40.3,NA,43.9021806786859,29.6453254693075,NA,12.8,19.4,14.1,NA,15.5574048794257
NA,20.8313620828941,32.9,30,26,22.8,37.8,18.3,10.9,12.5,10.4,14.2
