,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,16.846661717639453,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,20.90458660669357,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,47.9,112.0,68.3,88.7,57.2,38.7,18.8,17.075488271750125,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,21.269627961200353,16.661483836174398,38.3,20.834269404750096,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,87.83058972583699,50.348791363091856,40.4,23.6,25.9,10.9,10.0,9.3,8.7
7,8.59,11.9,49.36103002910753,45.6,118.0,79.5,28.586388167377212,18.095579602240278,14.1,16.7,20.73493583988633,18.5
8,11.2,11.3,48.84310946319228,149.0,102.0,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,31.0,15.8,22.1,15.8,14.27083103968933,9.5,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9.0,19.81863709465406,17.354646488382453
11,13.7,17.8,69.1,134.0,50.96078711134327,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,24.888053168686447,61.7,73.4,50.0,24.4,26.679650303135627,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,10.3,10.4,11.4,26.3,16.189029267447086
14,19.096606580477008,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13.0
15,9.22,11.9,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,21.18441312787552,22.8
16,19.8,13.0,51.46207959330794,110.0,51.9,21.0,23.1,23.8,15.943729824622075,17.9,18.8,61.0
17,37.6,24.401665602075585,66.5,88.0,50.48034319576457,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,19.0,42.9,50.10088738721751,86.71075013471568,79.3,40.4,23.7,14.4,25.4,16.7,26.8,19.353839205604682
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,19.45814229203114,55.4,18.090069258410484,21.6,42.6
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,34.3,26.1,31.4,88.6,62.6,35.94021888498799,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,51.25512867829182,36.8,30.09918008636968,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,50.01518076405229,171.0,30.2,14.6,26.2,12.2,13.6,9.7,20.092670510780792,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,19.1,55.3,29.7,40.6,18.1
25,27.3,24.58844177715762,83.6,46.6,29.3,36.5,28.74232930943309,63.3,16.215696065201513,44.7,71.5,22.4
26,37.9,24.150268771871783,37.1,75.7,33.1,13.0,17.8,15.3,9.85,17.460662986945966,23.0,9.93
27,8.7,36.1,92.9,84.9138378829867,51.5,38.96684827072752,25.75140045282565,31.5,16.6,19.8,39.3,44.8
28,19.2,32.5,52.03082734519294,136.0,107.0,41.79139229270539,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,53.173817964677525,108.0,45.8,44.1,31.1,17.02733245019696,29.0,16.0
30,44.6,24.15284040180994,76.6,76.50697369822255,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,30.9,23.0,56.08660046088171,137.0,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,50.6,76.1,22.5,34.411899756900034,25.760391624980148,23.1,11.4,18.1,19.2,26.9
33,18.762188479671256,53.0,70.9,84.9,79.3,66.8,28.23752176186122,35.2,25.3,19.1,24.7,83.1
34,37.5,24.560192033976634,43.5,62.9,31.0,30.4,35.6,21.1,11.2,10.0,18.506846185052773,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,10.9,8.4,7.9,8.7,20.12129716179233,18.008041977751496
36,9.6,15.7,49.6181570273205,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,19.59229653779536,33.5,32.9,30.0,50.10132322783444,22.8,37.8,18.3,10.9,12.5,10.4,14.2
