,0,1,2,3,4,5,6,7,8,9,10,11
0,125.56236742959865,352.0,254.0,458.0,284.0,170.0,133.0,109.0,98.7,80.8,106.0,99.0
1,73.8,229.0,387.0,254.0,380.44856362550536,267.0,291.0,185.32467020789133,247.0,191.0,85.5,138.0
2,327.0,465.0,265.0,437.0,303.0,292.0,221.0,233.0,116.0,102.0,99.0,107.0
3,87.0,185.0,202.0,499.0,398.0,486.0,323.0,347.0,121.0,183.0,185.8542272799624,290.0
4,192.0,218.0,665.0,307.0,522.0,207.0,143.0,168.0,141.0,151.0,184.0,418.0
5,323.0,126.0,314.0,463.0,406.0,206.0,195.0,154.0,86.7,71.8,66.8,68.1
6,134.40247730666795,161.0,174.0,275.0,168.4899530073141,154.0,131.40344073169499,93.7,62.66034745764953,50.0,39.7,45.1
7,48.2,71.7,97.2,228.46349913685208,421.0,310.0,207.0,104.0,85.4,99.68130721685519,67.4,82.1
8,58.1,104.0,365.0,486.04246606782624,469.0,364.0,277.0,96.7,86.6,49.2,64.4,81.5
9,138.0,126.0,196.0,398.0,185.0,129.0,115.0,81.8,58.30143799093891,42.9,39.9,32.9
10,73.8,143.0,93.0,386.0,337.0,306.0,88.0,57.0,37.2,38.8,42.7,69.8
11,67.9,115.0,295.0,479.0,271.0,303.0,117.0,55.5,69.6,55.0,45.5,70.2
12,51.6,57.6,204.0,222.0,209.69956435623837,187.0,118.0,98.7,154.0,98.1,82.4,114.0
13,100.34954777540665,118.0,170.0,146.0,129.0,164.0,99.0,50.6,57.4937037928988,57.1,88.0,85.0
14,75.5,139.4075884632394,92.8,104.0,290.0,312.0,244.0,210.0,85.9,136.0,134.0,89.0
15,73.7,96.8,132.0,210.0,129.0,172.0,113.0,64.2,56.7,94.1,151.0,88.0
16,67.7,91.85914679118795,186.0,395.0,206.0,100.0,68.3,68.5,122.0,78.5,83.2,175.0
17,90.93803739680892,128.0,172.0,294.0,268.1811467483039,244.0,107.0,61.4,65.9,77.0,70.9,90.2
18,175.6954642785225,160.0,167.0,209.0,342.0,286.0,152.0,85.8,122.0,100.0,131.0,216.0
19,345.0,127.0,174.0,273.2951109065572,336.0,132.0,103.0,87.0,222.0,164.0,144.04792804951887,224.0
20,182.0,133.0,202.0,412.0,430.0,240.0,198.0,270.0,225.0,229.0,135.0,173.0
21,243.0,145.0,156.0,331.0,291.0,526.0,441.0,143.0,130.90712196385024,259.0,278.0,124.0
22,147.0,232.0,480.02912821655434,511.0,456.0,243.0,240.0,149.0,121.0,908.0,921.0,137.0
23,105.0,257.0,388.0,674.0,223.0,92.5,95.7,67.2,90.9,49.7,91.9920386117568,47.0
24,57.9,76.7,222.0,255.0,188.0,136.0,271.0,152.0,143.0310051766563,183.0,166.0,135.0
25,166.6440282210578,320.0,233.0,154.0,124.0,132.0,92.0,241.0,140.1686196210191,154.0,239.0,116.0
26,210.0,111.0,166.0,255.0,186.0,85.0,71.4,68.8,53.7,48.75379545553148,111.0,81.0
27,91.7,194.0,343.0,499.0,249.0,181.0,103.0,155.0,130.55000429988354,105.0,177.0,224.0
28,130.0,143.0,437.0,637.0,531.0,286.0,368.0,376.0,205.0,122.0,107.0,172.0
29,195.0,167.0,438.0,814.0,336.0,469.0,244.0,131.45439399266616,210.0,86.6,106.0,92.0
30,148.0,269.0,296.0,167.0,199.0,189.0,94.5,87.9,169.0,159.0,226.0,200.0
31,118.0,140.0,368.0,430.0,316.0,229.18118772487836,145.0,121.0,138.03583526026932,105.0,93.1,212.0
32,120.0,176.0,303.0,277.0,147.0,152.0,131.41227309730237,108.0,63.4,74.4,139.0,84.43959146853219
33,348.0,225.0,239.0,334.0,318.0,343.0,357.0,219.0,134.0,118.0,143.43806553197123,292.0
34,182.0,161.0,201.0,236.0,162.0,154.0,131.40344073169499,95.95969100665451,58.2,38.7,37.1,53.3
35,46.2,83.46502355764264,107.0,261.0,208.0,225.0,75.8,49.723569482680965,31.4,34.5,46.220014832763134,44.7
36,46.2,62.7,180.0,313.0,131.0,172.0,99.1,56.6,67.0,113.0,79.6,67.9
37,99.7,115.0,113.0,134.0,201.0,138.0,173.0,118.0,81.1,83.7,81.7,120.0
