"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.634,1.43,0.981,1.63,0.966,1.4,0.868,0.314,0.677630254766621,0.271,0.0194130928135596,0.21
"2",0.236,0.508,1.78,1.46,2.73,1.46,1.94,0.491,3.69,1.28162682949627,0.338,0.793
"3",1.04,1.65,3.15,2.74,1.7052267436526,0.98,1.02763288679656,0.176857728771694,0.358,0.415,0.394,0.355
"4",0.357,0.31,2.39,4.57,1.52,3.08,2.03391556659635,0.966059230037087,1.3752465178391,0.805,1.43,0.923
"5",0.547,0.581,1.6037401257154,2.69,3.11,0.817,1.81,1.25588658223319,1.52,0.835,0.760606088771379,0.840079136339084
"6",1.48,0.588,1.86,4.28,1.71,0.734,1.74,1.61,1.0382973238343,0.524,0.422,0.38
"7",0.347,0.323,0.852,1.76601402025453,0.559,0.676228055856441,0.728,1.23,0.778203614262551,0.41832946055289,0.328,0.432
"8",0.5,0.314350262457442,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.302,0.372,0.428
"9",0.336213912434937,0.272,2.51,3.18,2.31,2.91,1.94,0.377,0.392,0.351,0.374,0.375
"10",0.37,0.351,1.52,1.72,0.402,0.433,0.55,0.358,0.235,0.298,0.279,0.227
"11",0.302,0.45,0.545,1.53159297080894,1,1.06,0.464,0.347,0.201,0.236,0.286,0.446
"12",0.349196631614192,0.422,1.63,3.25,1.89,2.38,0.663,0.418060312653041,0.432,0.265,0.274,0.307
"13",0.36588701562799,0.58,1.5,1.54820510375133,1.16,0.636,0.309,0.296,0.601,0.343259212235616,0.22,0.232366290670612
"14",0.294115240284638,0.39,0.666,1.15732136188257,0.7,0.729,0.399,0.348408763455667,0.246,0.279,0.381,0.266078147384455
"15",0.348,0.163,0.599,0.539,1.54,1.78,2.97,1.3624592912207,0.468,0.605,0.621,0.3
"16",0.338,0.283050960411699,0.816,1.79,0.62,1.69,0.537,0.701,0.317,0.360271917531428,0.485,0.28
"17",0.318,0.158,1.35,3.54,1.28837893798983,0.427,0.917,1.74,1.58,0.686,0.505,1.69
"18",0.996,0.732,1.32,1.38,0.727,1.37,0.518,0.414,0.734034597167278,0.487,0.143048972898288,0.327
"19",0.325,0.724,1.28,1.16,0.730146603413041,0.895,0.342,0.363,0.82989802956199,0.478,0.693,3.39
"20",1.28321285777295,0.468,0.725,5.23,2.32,0.666,0.497,0.424,1.45,0.801417378877313,0.467,0.981162094839151
"21",0.496,0.611,1.49,3.36,1.47933705822178,1.1,0.885,0.637631880879163,1.23,0.938,0.591,0.761
"22",0.63,0.689,0.674,1.5,1.09923606474758,2.1,0.979473512740146,0.443,0.805993458145477,1,0.733,0.584436380775581
"23",0.344,0.414,1.12620588062158,1.70398332991685,0.877589697113081,1.46,0.863,0.575,0.383,0.497821167584575,0.408,0.438
"24",0.388,0.531,2.7,3.08,0.488,0.402,0.446,0.208,0.277,0.41928271713535,0.254,0.239
"25",0.194,0.27,1.03,0.846,0.491,0.863273617156427,1.68,0.47,1.69,1.00227084620836,0.833,0.506
"26",1.12,1.74,1.56001069155073,0.819,0.233164536004037,0.405977091969981,0.975,0.567421771805506,0.841121953591559,1.28,1.92,0.879664026857929
"27",0.669,0.376,1.63132784138665,2.58,0.49,0.238,0.387,0.373,0.257,0.388,0.3,0.23
"28",0.237,0.668,2.11,2.21,1.04,0.375,0.52,0.754,0.438,0.502,0.907,0.73
"29",0.384,0.633834571038806,2.28,2.92178542356804,2.6,1.04,3.82,2.56,0.99,0.378,0.345,0.353226518538551
"30",0.319,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
"31",0.537,0.762,1.13,1.88015755923824,0.587,0.441,0.371,0.772259290007303,1.41,0.90523558474156,1.35,0.879
"32",0.382,0.452,2.61,3.27,1.88,0.898,1.65,0.658,0.553246930123482,0.418,0.549924202922528,0.456334150111622
"33",0.778,1.02,1.45473680103987,1.51,0.464,1.49,1.26449028474144,0.256,0.269,0.250967202517517,0.323,0.413
"34",1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.550447022169095,0.446,0.729,0.49876789192596
"35",0.822,0.347,1.24,2.2,0.643,1.41455833299676,1.06,0.468,0.293,0.391,0.302,0.318
"36",0.245,0.229,0.558,1.35274350466125,1.1,1.35,0.225,0.2,0.204,0.262,0.312524094312387,0.267
"37",0.27,0.342,0.955662545511679,2.24,0.466,2.74,0.686,0.4,0.321,0.327,0.325,0.265559984853746
"38",0.255,0.226935979488708,0.518,0.76,0.572617344948085,1.83,0.713177913449838,0.856,0.326,0.262936217895239,0.344,0.33
