"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.634,1.43,0.981,1.63,0.966,1.4,0.868,0.314,0.388,0.271,0.326,0.21
"2",0.43683135235663,0.508,1.78,1.46,2.73,1.46,0.862394087519911,0.491,3.69,0.456,0.338,0.793
"3",1.04,1.65,3.15,2.74,1.13,0.98,0.692,2.38,0.358,0.415,0.394,0.355
"4",0.357,0.767516402624394,2.39,4.57,1.52,3.08,2.7,1.72606251767369,0.51,0.805,1.43,0.923
"5",0.547,0.581,5.12,2.69,1.32957381806051,0.817,1.27961518129212,1.14935977086131,1.52,0.835,0.654,2.42
"6",1.48,0.588,1.86,1.40355851565561,1.71,0.734,1.74,1.01644487161277,0.616,0.364572126032307,0.422,0.38
"7",0.347,0.323,0.852,0.925,0.559,1.14,0.728,1.23,0.562104214130166,0.353781119524931,0.334345775725573,0.432
"8",0.365390471909544,0.472,1.61394419724269,2.72,3.89,2.59,1.21,0.763637991455925,0.399124189913091,0.302,0.372,0.428
"9",0.387,0.272,2.51,3.18,2.31,1.29380864088015,0.666969613367137,0.377,0.392,0.351,0.374,0.375
"10",0.37,0.351,1.52,1.72,0.402,0.433,0.55,0.358,0.235,0.298,0.279,0.227
"11",0.302,0.45,0.545,1.23,0.664998837898173,1.06,0.464,0.347,0.201,0.209800596056852,0.274261112968767,0.446
"12",0.414,0.422,1.63,3.25,1.89,2.38,0.96509806068931,0.548989756446146,0.432,0.265,0.274,0.267266361369477
"13",0.253,0.58,1.5,1.13,1.16,0.636,0.309,0.296,0.601,0.277,0.272006678102547,0.287
"14",0.138,0.39,0.666,0.749,0.770421625810837,0.729,0.399,0.392043029145782,0.246,0.279,0.381,0.301
"15",0.348,0.163,0.599,1.10311302147031,1.54,1.78,2.97,1.8,0.468,0.448830280695206,0.621,0.3
"16",0.282986174703484,0.338,0.715833567249422,1.79,0.62,1.69,0.537,0.701,0.317,0.494,0.485,0.28
"17",0.360437050998629,0.650193247750398,1.35,3.54,0.974,1.34676111736152,0.917,1.74,1.58,0.686,0.505,1.69
"18",0.996,0.732,1.32,1.38,0.727,1.37,0.518,0.414,0.287,-0.00465473929350316,-0.134933990379376,0.327
"19",0.542779765194015,0.724,1.28,1.16,0.756655261587067,0.895,0.342,0.363,0.845,0.478,0.693,3.39
"20",1.69,0.468,0.725,5.23,2.32,0.666,0.497,0.424,1.45,0.691749601401701,0.467,0.898
"21",0.496,0.611,1.49,3.36,2.63,1.43534670650572,0.885,1.43,1.23,0.938,0.591,0.761
"22",0.63,0.689,0.674,1.5,1.17,2.1,2.07,0.443,0.595,1,0.733,0.393
"23",0.378642140351896,0.414,2.2,1.81452246343266,0.963691958654293,1.46,1.05687034426537,0.575,0.383,0.42,0.408,0.438
"24",0.388,0.531,2.7,3.08,0.488,0.402,0.446,0.208,0.469908494723762,0.181,0.254,0.239
"25",0.194,0.27,1.03,0.846,0.491,0.852,0.580537483920979,0.47,1.69,0.858,0.833,0.506
"26",1.12,0.71329176551159,1.39,0.819,0.583,0.773532640748537,1.14795581609598,2.49,0.938,1.28,0.691173868356929,0.572
"27",0.669,0.376,1.38,0.946194631181317,0.49,0.238,0.387,0.373,0.176861445461659,0.388,0.221419381810361,0.23
"28",0.237,0.753789953230049,2.11,2.21,1.04,0.927318486901957,1.10745328158092,0.754,0.438,0.502,0.423310990510296,0.73
"29",0.384,0.92494749851654,2.28,2.4,2.6,2.88923527513135,3.82,2.56,0.99,0.547347974865757,0.345,0.395
"30",0.319,1.47922505646738,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
"31",0.537,0.762,1.13,1.77631207824246,0.587,0.441,0.371,0.413,1.41,0.984649301737671,1.35,0.584190732537452
"32",0.544832068688809,0.452,2.61,3.27,1.88,0.898,1.65,0.658,0.368,0.418,0.348,0.328026908512149
"33",0.754910890635999,1.02,1.04,1.51,0.464,1.49,0.791,0.256,0.269,0.407,0.323,0.413
"34",1.63,1.2378733822617,2.12,1.92,2.09,2.24,3.19,1.07,0.589536857415698,0.446,0.79191268713053,1.85
"35",0.822,0.347,1.24,2.2,0.643,1.86,1.25981562923958,0.540813895626107,0.293,0.391,0.302,0.318
"36",0.245,0.229,0.854084989369526,1.92,1.1,0.823767434842952,0.225,0.2,0.204,0.262,0.235149223190641,0.267
"37",0.27,0.342,0.896143016508277,2.24,0.466,0.571689282072962,0.738163967866538,0.3425847531001,0.321,0.327,0.325,0.209
"38",0.255,0.573,0.518,0.76,0.909,1.21473545879006,2.61,0.856,0.326,0.243164291301928,0.344,0.33
